name,Year,totalIncome,profit,employeeCount,netPayCosts,averagePay
Datalab,2024,0,0,0,0,0.0
Datalab,2023,0,0,0,0,0.0
Datalab,2022,0,0,0,0,0.0
Datalab,2021,0,0,0,0,0.0
Datalab,2020,0,0,0,0,0.0
Datalab,2019,0,0,0,0,0.0
Datalab,2018,0,0,0,0,0.0
Datalab,2017,0,0,0,0,0.0
Datalab,2016,0,0,0,0,0.0
Datalab,2015,0,0,0,0,0.0
Datalab,2014,0,0,0,0,0.0
Amplitudo,2024,0,0,0,0,0.0
Amplitudo,2023,0,0,0,0,0.0
Amplitudo,2022,0,0,0,0,0.0
Amplitudo,2021,0,0,0,0,0.0
Amplitudo,2020,0,0,0,0,0.0
Amplitudo,2019,0,0,0,0,0.0
Amplitudo,2018,0,0,0,0,0.0
Amplitudo,2017,0,0,0,0,0.0
Amplitudo,2016,0,0,0,0,0.0
Amplitudo,2015,0,0,0,0,0.0
Amplitudo,2014,0,0,0,0,0.0
Artec 3D Adriatica,2024,0,0,0,0,0.0
Artec 3D Adriatica,2023,0,0,0,0,0.0
Artec 3D Adriatica,2022,0,0,0,0,0.0
Omnitech,2023,0,0,0,0,0.0
Omnitech,2022,0,0,0,0,0.0
Omnitech,2021,0,0,0,0,0.0
Omnitech,2020,0,0,0,0,0.0
Omnitech,2019,0,0,0,0,0.0
Omnitech,2018,0,0,0,0,0.0
Omnitech,2017,0,0,0,0,0.0
Citrus Codes,2024,0,0,0,0,0.0
Citrus Codes,2023,0,0,0,0,0.0
Citrus Codes,2022,0,0,0,0,0.0
Uhura Solutions,2024,0,0,0,0,0.0
Uhura Solutions,2023,0,0,0,0,0.0
Uhura Solutions,2022,0,0,0,0,0.0
Uhura Solutions,2021,0,0,0,0,0.0
Uhura Solutions,2020,0,0,0,0,0.0
Uhura Solutions,2019,0,0,0,0,0.0
Codeus,2024,0,0,0,0,0.0
Codeus,2023,0,0,0,0,0.0
Codeus,2022,0,0,0,0,0.0
Codeus,2021,0,0,0,0,0.0
Codeus,2020,0,0,0,0,0.0
Codeus,2019,0,0,0,0,0.0
Codeus,2018,0,0,0,0,0.0
Codeus,2017,0,0,0,0,0.0
Codeus,2016,0,0,0,0,0.0
Digital Control,2024,0,0,0,0,0.0
